name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
Salitre,21,13,7,11,2021,200,435,0.54
Cervantes,21,13,7,11,2021,199,409,0.51
El Palo,21,13,7,11,2021,71,127,0.44
Av. de Andalucía,21,13,7,11,2021,367,613,0.4
Camas,21,13,7,11,2021,194,350,0.45
Cruz De Humilladero,21,13,7,11,2021,89,217,0.59
Alcazaba,21,13,7,11,2021,186,378,0.51
San Juan De La Cruz,21,13,7,11,2021,275,487,0.44
Pz. de la Marina,21,13,7,11,2021,0,430,1
Tejón y Rodriguez,21,13,7,11,2021,25,187,0.87
Salitre,20,13,7,11,2021,180,435,0.59
Cervantes,20,13,7,11,2021,213,409,0.48
El Palo,20,13,7,11,2021,72,127,0.43
Av. de Andalucía,20,13,7,11,2021,245,613,0.6
Camas,20,13,7,11,2021,194,350,0.45
Cruz De Humilladero,20,13,7,11,2021,89,217,0.59
Alcazaba,20,13,7,11,2021,186,378,0.51
San Juan De La Cruz,20,13,7,11,2021,264,487,0.46
Pz. de la Marina,20,13,7,11,2021,0,430,1
Tejón y Rodriguez,20,13,7,11,2021,32,187,0.83
Salitre,19,13,7,11,2021,180,435,0.59
Cervantes,19,13,7,11,2021,198,409,0.52
El Palo,19,13,7,11,2021,75,127,0.41
Av. de Andalucía,19,13,7,11,2021,187,613,0.69
Camas,19,13,7,11,2021,194,350,0.45
Cruz De Humilladero,19,13,7,11,2021,89,217,0.59
Alcazaba,19,13,7,11,2021,186,378,0.51
San Juan De La Cruz,19,13,7,11,2021,264,487,0.46
Pz. de la Marina,19,13,7,11,2021,0,430,1
Tejón y Rodriguez,19,13,7,11,2021,30,187,0.84
Salitre,18,13,7,11,2021,189,435,0.57
Cervantes,18,13,7,11,2021,198,409,0.52
El Palo,18,13,7,11,2021,67,127,0.47
Av. de Andalucía,18,13,7,11,2021,202,613,0.67
Camas,18,13,7,11,2021,194,350,0.45
Cruz De Humilladero,18,13,7,11,2021,94,217,0.57
Alcazaba,18,13,7,11,2021,186,378,0.51
San Juan De La Cruz,18,13,7,11,2021,261,487,0.46
Pz. de la Marina,18,13,7,11,2021,0,430,1
Tejón y Rodriguez,18,13,7,11,2021,45,187,0.76
Salitre,17,13,7,11,2021,189,435,0.57
Cervantes,17,13,7,11,2021,190,409,0.54
El Palo,17,13,7,11,2021,52,127,0.59
Av. de Andalucía,17,13,7,11,2021,256,613,0.58
Camas,17,13,7,11,2021,194,350,0.45
Cruz De Humilladero,17,13,7,11,2021,94,217,0.57
Alcazaba,17,13,7,11,2021,186,378,0.51
San Juan De La Cruz,17,13,7,11,2021,270,487,0.45
Pz. de la Marina,17,13,7,11,2021,0,430,1
Tejón y Rodriguez,17,13,7,11,2021,45,187,0.76
Salitre,16,13,7,11,2021,188,435,0.57
Cervantes,16,13,7,11,2021,157,409,0.62
El Palo,16,13,7,11,2021,19,127,0.85
Av. de Andalucía,16,13,7,11,2021,277,613,0.55
Camas,16,13,7,11,2021,194,350,0.45
Cruz De Humilladero,16,13,7,11,2021,90,217,0.59
Alcazaba,16,13,7,11,2021,186,378,0.51
San Juan De La Cruz,16,13,7,11,2021,264,487,0.46
Pz. de la Marina,16,13,7,11,2021,0,430,1
Tejón y Rodriguez,16,13,7,11,2021,36,187,0.81
Salitre,15,13,7,11,2021,178,435,0.59
Cervantes,15,13,7,11,2021,134,409,0.67
El Palo,15,13,7,11,2021,1,127,0.99
Av. de Andalucía,15,13,7,11,2021,269,613,0.56
Camas,15,13,7,11,2021,194,350,0.45
Cruz De Humilladero,15,13,7,11,2021,86,217,0.6
Alcazaba,15,13,7,11,2021,186,378,0.51
San Juan De La Cruz,15,13,7,11,2021,254,487,0.48
Pz. de la Marina,15,13,7,11,2021,0,430,1
Tejón y Rodriguez,15,13,7,11,2021,35,187,0.81
Salitre,14,13,7,11,2021,203,435,0.53
Cervantes,14,13,7,11,2021,195,409,0.52
El Palo,14,13,7,11,2021,13,127,0.9
Av. de Andalucía,14,13,7,11,2021,212,613,0.65
Camas,14,13,7,11,2021,194,350,0.45
Cruz De Humilladero,14,13,7,11,2021,76,217,0.65
Alcazaba,14,13,7,11,2021,186,378,0.51
